
OFFICIAL    2022-23 STATS:

	PLAYER	TEAM	AGE	GP	W	L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	TOV	STL	BLK	PF	FP	DD2	TD3	+/-
114	Luguentz Dort	OKC	24	74	36	38	30.7	13.7	4.6	11.8	38.8	1.8	5.5	33.0	2.7	3.5	77.2	1.7	2.9	4.6	2.1	1.2	1.0	0.3	3.3	25.1	5.0	0.0	0.5
115	Malik Monk	SAC	25	77	47	30	22.3	13.5	4.6	10.3	44.8	1.9	5.2	35.9	2.4	2.7	88.9	0.4	2.2	2.6	3.9	1.9	0.6	0.3	1.6	23.3	0.0	0.0	0.9
116	Rudy Gobert	MIN	31	70	34	36	30.7	13.4	5.1	7.8	65.9	0.0	0.0	0.0	3.1	4.9	64.4	3.3	8.3	11.6	1.2	1.7	0.8	1.4	3.0	34.0	35.0	0.0	-0.1
117	Jusuf Nurkic	POR	28	52	24	28	26.8	13.3	5.0	9.7	51.9	0.8	2.3	36.1	2.4	3.7	66.1	2.2	6.9	9.1	2.9	2.3	0.8	0.8	3.6	31.2	18.0	0.0	0.2
118	Kris Dunn	UTA	29	22	8	14	25.8	13.2	5.3	9.8	53.7	0.8	1.6	47.2	1.9	2.4	77.4	0.4	4.1	4.5	5.6	1.6	1.1	0.5	2.6	30.3	3.0	0.0	-2.8
119	John Collins	ATL	25	71	37	34	30.0	13.1	5.1	10.0	50.8	1.0	3.4	29.2	2.0	2.5	80.3	1.1	5.4	6.5	1.2	1.1	0.6	1.0	3.1	26.5	11.0	0.0	-0.3
120	Cole Anthony	ORL	23	60	28	32	25.9	13.0	4.6	10.2	45.4	1.3	3.4	36.4	2.5	2.8	89.4	0.8	4.0	4.8	3.9	1.5	0.6	0.5	2.6	26.5	1.0	0.0	-0.4
121	Austin Reaves	LAL	25	64	35	29	28.8	13.0	4.0	7.7	52.9	1.3	3.4	39.8	3.6	4.1	86.4	0.5	2.5	3.0	3.4	1.5	0.5	0.3	1.7	22.6	1.0	0.0	3.3
122	Tre Jones	SAS	23	68	20	48	29.2	12.9	5.0	10.9	45.9	0.7	2.3	28.5	2.2	2.5	86.0	0.8	2.8	3.6	6.6	1.6	1.3	0.1	1.4	29.8	6.0	2.0	-4.8
123	Jabari Smith Jr.	HOU	20	79	21	58	31.0	12.8	4.6	11.3	40.8	1.5	4.9	30.7	2.1	2.6	78.6	1.5	5.7	7.2	1.3	1.3	0.5	0.9	2.9	26.5	16.0	0.0	-7.0
124	Alec Burks	DET	31	51	12	39	22.0	12.8	3.9	9.0	43.6	1.9	4.7	41.4	3.0	3.7	81.4	0.4	2.7	3.1	2.2	1.1	0.7	0.2	1.9	21.4	0.0	0.0	-0.1
125	Kenyon Martin Jr.	HOU	22	82	22	60	28.0	12.7	5.0	8.8	56.9	0.8	2.6	31.5	1.8	2.7	68.0	1.5	4.0	5.5	1.5	1.1	0.5	0.4	1.8	23.0	5.0	0.0	-4.5
126	Malik Beasley	LAL	26	81	45	36	25.8	12.7	4.6	11.6	39.5	2.9	8.1	35.7	0.6	0.8	76.9	0.4	3.1	3.5	1.5	1.1	0.8	0.1	1.3	20.8	1.0	0.0	-1.1
127	Nic Claxton	BKN	24	76	41	35	29.9	12.6	5.4	7.7	70.5	0.0	0.0	0.0	1.8	3.2	54.1	2.4	6.8	9.2	1.9	1.3	0.9	2.5	2.8	35.3	28.0	0.0	1.6
128	Dennis Schroder	LAL	29	66	37	29	30.1	12.6	4.1	9.8	41.5	1.1	3.4	32.9	3.3	3.8	85.7	0.3	2.2	2.5	4.5	1.7	0.8	0.2	2.2	23.4	2.0	0.0	1.9
129	Mac McClung	PHI	24	2	2	0	20.5	12.5	4.5	10.0	45.0	2.0	5.5	36.4	1.5	2.5	60.0	1.5	3.5	5.0	4.5	1.5	0.0	0.0	1.5	23.8	0.0	0.0	9.0
130	Jakob Poeltl	TOR	27	72	26	46	26.5	12.5	5.4	8.6	62.9	0.0	0.0	0.0	1.7	2.8	59.2	3.3	5.8	9.1	2.7	1.7	0.9	1.2	2.7	32.0	19.0	0.0	-2.0
131	Kelly Olynyk	UTA	32	68	28	40	28.6	12.5	4.1	8.2	49.9	1.4	3.5	39.4	2.9	3.4	85.3	1.2	5.0	6.2	3.7	2.5	0.9	0.5	3.4	27.2	9.0	0.0	0.2
132	Eric Gordon	LAC	34	69	25	44	28.5	12.4	4.2	9.5	44.6	1.9	5.2	37.1	2.1	2.5	82.1	0.2	1.7	1.9	2.7	1.5	0.6	0.4	1.1	20.2	0.0	0.0	-3.0
133	Derrick White	BOS	28	82	57	25	28.3	12.4	4.3	9.2	46.2	1.8	4.8	38.1	2.0	2.3	87.5	0.6	2.9	3.6	3.9	1.2	0.7	0.9	2.2	26.2	7.0	0.0	6.0
134	Keegan Murray	SAC	22	80	47	33	29.8	12.2	4.4	9.8	45.3	2.6	6.3	41.1	0.8	1.0	76.5	1.1	3.5	4.6	1.2	0.8	0.8	0.5	2.0	22.7	4.0	0.0	1.2
135	Caris LeVert	CLE	28	74	45	29	30.2	12.1	4.3	10.0	43.1	1.7	4.4	39.2	1.8	2.4	72.2	0.7	3.1	3.8	3.9	1.6	1.0	0.3	2.3	24.8	1.0	0.0	2.6
136	Jaden McDaniels	MIN	22	79	41	38	30.6	12.1	4.7	9.1	51.7	1.4	3.4	39.8	1.3	1.8	73.6	1.2	2.7	3.9	1.9	1.4	0.9	1.0	3.4	23.8	0.0	0.0	0.9
137	Marvin Bagley III	DET	24	42	7	35	23.6	12.0	4.8	9.1	52.9	0.5	1.6	28.8	1.9	2.6	75.0	2.2	4.2	6.4	0.9	1.1	0.5	0.7	1.9	23.4	8.0	0.0	-5.5
138	Clint Capela	ATL	29	65	35	30	26.6	12.0	5.4	8.2	65.3	0.0	0.0	0.0	1.2	2.0	60.3	4.0	7.1	11.0	0.9	0.8	0.7	1.2	2.1	31.5	35.0	0.0	-0.5
139	Mike Conley	MIN	35	67	34	33	30.3	11.9	3.9	9.1	42.8	2.0	5.2	38.5	2.1	2.5	83.4	0.5	2.2	2.7	6.7	1.5	1.1	0.2	2.1	27.6	6.0	0.0	0.9
140	Bones Hyland	LAC	22	56	36	20	19.4	11.8	4.1	10.2	39.9	2.1	5.6	37.1	1.5	1.8	84.3	0.4	2.1	2.4	3.1	1.5	0.7	0.3	1.7	20.7	1.0	0.0	-2.3
141	Lonnie Walker IV	LAL	24	56	27	29	23.2	11.7	4.2	9.4	44.8	1.6	4.4	36.5	1.6	1.9	85.8	0.3	1.7	1.9	1.1	0.8	0.5	0.3	1.3	17.4	0.0	0.0	-3.7
142	Zach Collins	SAS	25	63	20	43	22.9	11.6	4.5	8.7	51.8	0.9	2.3	37.4	1.7	2.3	76.1	1.8	4.5	6.4	2.9	2.0	0.6	0.8	3.2	25.6	9.0	0.0	-3.8
143	Bruce Brown	DEN	26	80	53	27	28.5	11.5	4.5	9.3	48.3	1.1	3.2	35.8	1.5	1.9	75.8	0.8	3.3	4.1	3.4	1.5	1.1	0.6	2.4	25.1	3.0	1.0	0.4
143	Max Strus	MIA	27	80	42	38	28.4	11.5	4.1	9.9	41.0	2.5	7.0	35.0	1.0	1.1	87.6	0.6	2.6	3.2	2.1	0.9	0.5	0.2	2.1	19.8	2.0	0.0	-1.8
145	Marcus Smart	BOS	29	61	43	18	32.1	11.5	4.1	9.9	41.5	1.9	5.6	33.6	1.4	1.9	74.6	0.8	2.4	3.1	6.3	2.3	1.5	0.4	2.8	28.0	6.0	0.0	3.9
146	Naz Reid	MIN	23	68	32	36	18.4	11.5	4.6	8.5	53.7	1.1	3.2	34.6	1.3	1.9	67.7	1.1	3.8	4.9	1.1	1.4	0.6	0.8	2.6	21.9	4.0	0.0	-1.9
147	John Wall	LAC	32	34	15	19	22.2	11.4	4.1	10.0	40.7	1.0	3.2	30.3	2.3	3.3	68.1	0.4	2.3	2.7	5.2	2.4	0.8	0.4	1.7	23.5	1.0	0.0	-3.1
148	Isaiah Stewart	DET	22	50	12	38	28.3	11.3	3.9	8.8	44.2	1.3	4.1	32.7	2.2	3.0	73.8	2.3	5.8	8.1	1.4	1.4	0.4	0.7	2.7	25.0	13.0	0.0	-4.5
149	Quentin Grimes	NYK	23	71	41	30	29.9	11.3	4.0	8.5	46.8	2.2	5.7	38.6	1.1	1.4	79.6	0.7	2.5	3.2	2.1	1.0	0.7	0.4	2.5	20.4	0.0	0.0	2.6
150	Rui Hachimura	LAL	25	63	38	25	23.3	11.2	4.5	9.3	48.6	0.8	2.5	31.9	1.4	1.9	73.9	0.8	3.7	4.5	0.9	0.8	0.3	0.4	1.1	19.3	2.0	0.0	-0.4
	PLAYER	TEAM	AGE	GP	W	L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	TOV	STL	BLK	PF	FP	DD2	TD3	+/-
151	Marcus Morris Sr.	LAC	33	65	35	30	28.1	11.2	4.2	9.9	42.6	1.7	4.7	36.5	1.0	1.3	78.2	0.4	3.5	4.0	1.8	0.9	0.6	0.3	2.1	20.6	2.0	0.0	-0.2
152	Kyle Lowry	MIA	37	55	30	25	31.2	11.2	3.6	8.8	40.4	1.9	5.6	34.5	2.1	2.5	85.9	0.8	3.3	4.1	5.1	1.9	1.0	0.4	2.6	26.1	2.0	1.0	1.0
153	Corey Kispert	WAS	24	74	31	43	28.3	11.1	3.9	7.9	49.7	2.2	5.2	42.4	1.0	1.2	85.2	0.4	2.4	2.8	1.2	0.7	0.4	0.1	1.3	17.1	0.0	0.0	-1.7
154	Jeremy Sochan	SAS	20	56	15	41	26.0	11.0	4.5	9.9	45.3	0.6	2.4	24.6	1.4	2.1	69.8	1.7	3.6	5.3	2.5	1.7	0.8	0.4	2.5	22.9	2.0	0.0	-4.2
155	Mason Plumlee	LAC	33	79	28	51	26.0	10.8	4.2	6.1	68.0	0.0	0.0	0.0	2.5	4.0	63.6	2.9	6.0	8.9	3.1	1.5	0.6	0.6	2.7	28.2	23.0	0.0	-3.4
156	Jaylen Nowell	MIN	23	65	34	31	19.3	10.8	4.3	9.6	44.8	1.0	3.6	28.9	1.2	1.5	77.8	0.6	2.1	2.6	2.0	1.0	0.6	0.1	1.6	18.2	0.0	0.0	-0.1
157	Kentavious Caldwell-Pope	DEN	30	76	51	25	31.3	10.8	3.8	8.3	46.2	1.8	4.2	42.3	1.4	1.6	82.4	0.5	2.3	2.7	2.4	1.1	1.5	0.5	1.9	22.4	0.0	0.0	6.5
158	Ivica Zubac	LAC	26	76	43	33	28.5	10.8	4.3	6.8	63.4	0.0	0.0	0.0	2.2	3.1	69.7	3.1	6.8	9.9	1.0	1.5	0.4	1.3	2.9	27.7	27.0	0.0	-0.4
159	Talen Horton-Tucker	UTA	22	65	30	35	20.2	10.7	4.0	9.4	41.9	0.9	3.1	28.6	1.9	2.6	75.0	0.6	2.6	3.2	3.8	1.9	0.6	0.4	1.7	21.6	2.0	0.0	-0.1
160	Victor Oladipo	MIA	31	42	23	19	26.3	10.7	3.8	9.6	39.7	1.7	5.0	33.0	1.4	1.9	74.7	0.4	2.7	3.0	3.5	2.1	1.4	0.3	2.4	22.4	0.0	0.0	-0.8
161	Jeenathan Williams	POR	24	5	1	4	25.3	10.6	4.8	7.8	61.5	0.6	1.6	37.5	0.4	0.6	66.7	2.0	1.0	3.0	2.0	0.8	0.6	0.4	2.6	19.4	0.0	0.0	-7.6
162	Cam Thomas	BKN	21	57	30	27	16.6	10.6	3.5	8.0	44.1	0.9	2.3	38.3	2.6	3.1	86.8	0.1	1.5	1.7	1.4	1.1	0.4	0.1	1.0	15.0	0.0	0.0	-0.1
163	Moritz Wagner	ORL	26	57	27	30	19.5	10.5	3.5	6.9	50.0	0.9	2.9	31.3	2.7	3.2	84.1	1.2	3.3	4.5	1.5	1.2	0.6	0.2	2.4	19.6	3.0	0.0	-0.5
164	Grayson Allen	MIL	27	72	53	19	27.4	10.4	3.4	7.7	44.0	2.0	5.1	39.9	1.6	1.8	90.5	0.8	2.4	3.3	2.3	1.0	0.9	0.2	1.6	19.9	0.0	0.0	3.2
165	Killian Hayes	DET	21	76	16	60	28.3	10.3	4.0	10.7	37.7	1.1	3.8	28.0	1.2	1.5	82.1	0.4	2.5	2.9	6.2	2.3	1.4	0.4	2.9	26.0	6.0	0.0	-6.6
166	Tyus Jones	MEM	27	80	51	29	24.2	10.3	3.9	8.9	43.8	1.5	4.1	37.1	1.0	1.2	80.6	0.4	2.2	2.5	5.2	0.9	1.0	0.1	0.4	23.5	9.0	1.0	1.2
167	Cameron Payne	PHX	28	48	27	21	20.2	10.3	3.9	9.4	41.5	1.4	3.9	36.8	1.0	1.3	76.6	0.3	2.0	2.2	4.5	1.7	0.7	0.2	1.8	20.5	3.0	0.0	1.6
168	Monte Morris	WAS	28	62	28	34	27.4	10.3	4.0	8.3	48.0	1.3	3.3	38.2	1.0	1.2	83.1	0.4	3.0	3.4	5.3	1.0	0.7	0.2	1.2	24.0	2.0	0.0	0.1
169	Doug McDermott	SAS	31	64	19	45	20.5	10.2	3.7	8.2	45.7	1.9	4.7	41.3	0.8	1.1	75.7	0.4	1.8	2.2	1.4	0.9	0.2	0.1	1.8	14.9	0.0	0.0	-3.7
170	Malaki Branham	SAS	20	66	15	51	23.5	10.2	4.1	9.3	44.0	1.2	3.9	30.2	0.9	1.1	82.9	0.4	2.3	2.7	1.9	1.2	0.5	0.1	1.7	17.0	0.0	0.0	-5.5
171	Reggie Jackson	DEN	33	68	36	32	24.4	10.2	3.9	9.4	41.1	1.4	4.2	33.3	1.0	1.1	91.0	0.4	1.8	2.1	3.4	1.7	0.7	0.1	1.7	18.5	1.0	0.0	-1.2
172	Patrick Williams	CHI	21	82	40	42	28.3	10.2	3.8	8.3	46.4	1.4	3.4	41.5	1.1	1.3	85.7	1.0	3.0	4.0	1.2	1.2	0.9	0.9	1.8	20.7	1.0	0.0	-1.7
173	De'Anthony Melton	PHI	25	77	50	27	27.9	10.1	3.6	8.5	42.5	2.0	5.2	39.0	0.9	1.1	79.3	0.9	3.2	4.1	2.6	1.3	1.6	0.5	2.5	24.0	0.0	0.0	1.3
174	Aaron Nesmith	IND	23	73	30	43	24.9	10.1	3.5	8.1	42.7	1.6	4.3	36.6	1.6	1.9	83.8	0.8	2.9	3.8	1.3	1.0	0.8	0.5	3.2	19.3	1.0	0.0	-2.9
175	Josh Richardson	NOP	29	65	24	41	23.5	10.1	3.7	8.5	43.1	1.6	4.5	36.5	1.1	1.2	85.2	0.6	2.1	2.7	2.7	1.3	1.1	0.3	1.8	20.1	1.0	0.0	-2.5
176	James Wiseman	DET	22	45	11	34	19.3	10.0	4.2	7.5	55.8	0.1	0.4	20.0	1.5	2.2	70.1	1.6	4.3	5.9	0.7	1.1	0.2	0.6	2.4	19.3	8.0	0.0	-7.3
177	Brandon Clarke	MEM	26	56	32	24	19.5	10.0	4.1	6.2	65.6	0.0	0.1	16.7	1.8	2.5	71.9	1.6	3.9	5.5	1.3	1.0	0.6	0.7	2.3	21.4	6.0	0.0	-0.3
178	Jonathan Kuminga	GSW	20	67	38	29	20.8	9.9	3.9	7.4	52.5	0.8	2.2	37.0	1.3	2.1	65.2	1.0	2.4	3.4	1.9	1.4	0.6	0.5	2.3	18.7	1.0	0.0	-0.8
179	Onyeka Okongwu	ATL	22	80	41	39	23.1	9.9	4.0	6.2	63.8	0.1	0.2	30.8	1.9	2.5	78.1	2.7	4.5	7.2	1.0	1.0	0.7	1.3	3.1	25.1	12.0	0.0	0.8
180	Jalen Suggs	ORL	22	53	20	33	23.5	9.9	3.5	8.4	41.9	1.2	3.8	32.7	1.6	2.2	72.3	1.0	2.0	3.0	2.9	1.8	1.3	0.5	2.3	21.5	0.0	0.0	-0.8
181	Shaedon Sharpe	POR	20	80	32	48	22.2	9.9	3.8	8.1	47.2	1.3	3.5	36.0	0.9	1.3	71.4	0.8	2.2	3.0	1.2	1.0	0.5	0.3	1.7	16.5	0.0	0.0	-3.7
182	Luka Samanic	UTA	23	7	2	5	23.0	9.9	3.7	8.1	45.6	1.1	4.4	25.8	1.3	1.9	69.2	0.0	4.3	4.3	2.1	1.4	0.9	0.3	2.4	20.2	0.0	0.0	-0.9
183	Herbert Jones	NOP	24	66	31	35	29.6	9.8	3.6	7.6	46.9	0.8	2.5	33.5	1.9	2.4	76.4	1.5	2.6	4.1	2.5	1.3	1.6	0.6	3.2	23.7	0.0	0.0	2.3
184	Thomas Bryant	DEN	25	59	33	26	18.3	9.8	3.9	6.3	62.3	0.4	1.0	44.1	1.6	2.1	73.8	1.5	4.3	5.7	0.5	0.6	0.3	0.5	1.7	19.2	9.0	0.0	-1.6
185	Al Horford	BOS	37	63	44	19	30.5	9.8	3.6	7.6	47.6	2.3	5.2	44.6	0.2	0.3	71.4	1.2	5.0	6.2	3.0	0.6	0.5	1.0	1.9	25.5	7.0	0.0	4.9
186	Josh Hart	NYK	28	76	42	34	32.3	9.8	3.6	6.8	52.9	0.8	2.2	37.2	1.7	2.3	75.0	1.9	5.9	7.8	3.8	1.5	1.2	0.3	2.6	27.6	10.0	0.0	4.1
187	Julian Champagnie	SAS	22	17	7	10	18.8	9.7	3.5	7.6	45.4	1.9	4.8	40.2	0.8	1.0	82.4	0.6	2.9	3.5	0.6	0.6	0.4	0.3	1.5	16.1	1.0	0.0	-4.4
188	Cam Reddish	POR	23	40	14	26	24.7	9.7	3.5	7.8	44.6	1.1	3.6	31.3	1.6	1.9	85.3	0.5	1.8	2.2	1.4	1.2	1.0	0.4	1.8	17.3	0.0	0.0	-4.8
189	Coby White	CHI	23	74	37	37	23.4	9.7	3.6	8.0	44.3	1.7	4.6	37.2	0.8	0.9	87.1	0.2	2.6	2.9	2.8	1.0	0.7	0.1	1.6	18.7	1.0	0.0	1.9
190	Keita Bates-Diop	SAS	27	67	18	49	21.7	9.7	3.5	6.9	50.8	0.8	2.1	39.4	1.8	2.2	79.3	1.0	2.7	3.7	1.5	0.8	0.7	0.3	0.9	18.5	0.0	0.0	-4.0
191	Caleb Martin	MIA	27	71	38	33	29.3	9.6	3.6	7.7	46.4	1.2	3.3	35.6	1.3	1.6	80.5	1.2	3.6	4.8	1.6	1.1	1.0	0.4	2.0	21.1	2.0	0.0	-0.1
192	Isaiah Joe	OKC	23	73	36	37	19.1	9.5	3.1	7.0	44.1	2.2	5.4	40.9	1.1	1.4	82.0	0.4	2.0	2.4	1.2	0.5	0.7	0.1	1.4	15.9	0.0	0.0	2.9
193	Andrew Nembhard	IND	23	75	32	43	27.6	9.5	3.8	8.6	44.1	1.2	3.5	35.0	0.7	0.8	79.0	0.5	2.2	2.7	4.5	1.7	0.9	0.2	2.4	21.1	5.0	0.0	-3.5
194	Jalen Smith	IND	23	68	31	37	18.8	9.4	3.6	7.5	47.6	0.8	2.8	28.3	1.5	2.0	75.9	1.9	3.9	5.8	1.0	1.1	0.3	0.9	2.3	20.4	7.0	0.0	-1.4
195	Jalen McDaniels	PHI	25	80	31	49	23.9	9.4	3.5	7.7	45.5	1.0	2.9	33.2	1.5	1.7	84.1	0.8	3.5	4.3	1.6	1.2	1.0	0.4	2.6	20.3	3.0	0.0	-1.9
196	Gabe Vincent	MIA	27	68	37	31	25.9	9.4	3.4	8.3	40.2	1.7	5.1	33.4	1.0	1.1	87.2	0.4	1.7	2.1	2.5	1.4	0.9	0.1	2.3	17.3	0.0	0.0	-0.4
197	Donte DiVincenzo	GSW	26	72	42	30	26.3	9.4	3.3	7.5	43.5	2.1	5.3	39.7	0.8	1.0	81.7	1.1	3.4	4.5	3.5	1.6	1.3	0.1	1.8	23.0	4.0	0.0	1.7
198	Kyle Anderson	MIN	29	69	36	33	28.4	9.4	3.7	7.2	50.9	0.6	1.5	41.0	1.4	2.0	73.5	1.0	4.4	5.3	4.9	1.5	1.1	0.9	2.1	27.7	10.0	3.0	1.3
199	Chris Boucher	TOR	30	76	39	37	20.0	9.4	3.4	7.0	49.3	0.8	2.5	32.8	1.7	2.2	76.2	2.1	3.5	5.5	0.4	0.5	0.6	0.8	1.9	20.4	9.0	0.0	-0.2
200	Hamidou Diallo	DET	24	56	12	44	17.8	9.3	3.8	6.7	57.3	0.1	0.4	23.8	1.6	2.6	58.8	1.0	2.4	3.5	1.0	1.3	0.9	0.3	2.2	17.4	0.0	0.0	-0.3


 	TEAM	GP	W	L	WIN%	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	TOV	STL	BLK	BLKA	PF	PFD	+/-
1	
Milwaukee Bucks Logo
Milwaukee Bucks
82	58	24	.707	48.4	116.9	42.7	90.4	47.3	14.8	40.3	36.8	16.6	22.4	74.3	11.1	37.5	48.6	25.8	14.6	6.4	4.9	3.9	18.0	19.0	3.6
2	
Boston Celtics Logo
Boston Celtics
82	57	25	.695	48.7	117.9	42.2	88.8	47.5	16.0	42.6	37.7	17.5	21.6	81.2	9.7	35.6	45.3	26.7	13.4	6.4	5.2	3.9	18.8	19.1	6.5
3	
Philadelphia 76ers Logo
Philadelphia 76ers
82	54	28	.659	48.5	115.2	40.8	83.8	48.7	12.6	32.6	38.7	21.0	25.1	83.5	8.7	32.2	40.9	25.2	13.7	7.7	4.7	4.6	20.4	19.6	4.3
4	
Denver Nuggets Logo
Denver Nuggets
82	53	29	.646	48.2	115.8	43.6	86.4	50.4	11.8	31.2	37.9	16.8	22.4	75.1	10.1	32.9	43.0	28.9	14.5	7.5	4.5	4.2	18.6	19.5	3.3
5	
Cleveland Cavaliers Logo
Cleveland Cavaliers
82	51	31	.622	48.5	112.3	41.6	85.2	48.8	11.6	31.6	36.7	17.5	22.5	78.0	9.7	31.4	41.1	24.9	13.3	7.1	4.7	4.4	19.0	20.4	5.4
5	
Memphis Grizzlies Logo
Memphis Grizzlies
82	51	31	.622	48.2	116.9	43.7	92.1	47.5	12.0	34.2	35.1	17.5	23.8	73.3	12.0	34.6	46.6	26.0	13.6	8.3	5.8	5.2	20.0	20.0	3.9
7	
Sacramento Kings Logo
Sacramento Kings
82	48	34	.585	48.4	120.7	43.6	88.2	49.4	13.8	37.3	36.9	19.8	25.1	79.0	9.5	32.9	42.5	27.3	13.5	7.0	3.4	4.2	19.7	20.9	2.6
8	
New York Knicks Logo
New York Knicks
82	47	35	.573	48.7	116.0	42.0	89.4	47.0	12.6	35.7	35.4	19.4	25.5	76.1	12.6	34.0	46.6	22.9	13.0	6.4	4.1	4.5	20.3	20.7	2.9
9	
Brooklyn Nets Logo
Brooklyn Nets
82	45	37	.549	48.1	113.4	41.5	85.1	48.7	12.8	33.8	37.8	17.7	22.1	80.0	8.2	32.3	40.5	25.5	13.7	7.1	6.2	3.9	21.1	18.5	0.9
9	
Phoenix Suns Logo
Phoenix Suns
82	45	37	.549	48.2	113.6	42.1	90.1	46.7	12.2	32.6	37.4	17.2	21.7	79.3	11.8	32.4	44.2	27.3	13.5	7.1	5.3	4.0	21.2	19.9	2.1
11	
Golden State Warriors Logo
Golden State Warriors
82	44	38	.537	48.4	118.9	43.1	90.2	47.9	16.6	43.2	38.5	16.0	20.2	79.4	10.5	34.1	44.6	29.8	16.3	7.2	4.0	4.0	21.4	18.4	1.8
11	
LA Clippers Logo
LA Clippers
82	44	38	.537	48.4	113.6	41.1	86.1	47.7	12.7	33.3	38.1	18.7	23.9	78.1	9.8	33.4	43.2	23.9	14.2	7.1	4.4	4.2	19.5	19.6	0.5
11	
Miami Heat Logo
Miami Heat
82	44	38	.537	48.3	109.5	39.2	85.3	46.0	12.0	34.8	34.4	19.1	23.0	83.1	9.7	30.9	40.6	23.8	13.5	8.0	3.0	3.8	18.5	20.0	-0.3
14	
Los Angeles Lakers Logo
Los Angeles Lakers
82	43	39	.524	48.5	117.2	42.9	89.0	48.2	10.8	31.2	34.6	20.6	26.6	77.5	10.0	35.7	45.7	25.3	14.1	6.4	4.6	5.1	17.9	21.5	0.6
15	
Minnesota Timberwolves Logo
Minnesota Timberwolves
82	42	40	.512	48.4	115.8	42.9	87.4	49.0	12.2	33.3	36.5	17.9	23.7	75.5	9.1	32.8	41.9	26.2	15.3	8.0	5.4	4.1	21.6	20.2	0.0
15	
New Orleans Pelicans Logo
New Orleans Pelicans
82	42	40	.512	48.4	114.4	42.0	87.6	48.0	11.0	30.1	36.4	19.3	24.4	79.3	10.6	33.1	43.7	25.9	14.6	8.3	4.1	4.7	20.5	20.4	1.9
17	
Atlanta Hawks Logo
Atlanta Hawks
82	41	41	.500	48.4	118.4	44.6	92.4	48.3	10.8	30.5	35.2	18.5	22.6	81.8	11.2	33.2	44.4	25.0	12.9	7.1	4.9	5.0	18.8	19.7	0.3
17	
Toronto Raptors Logo
Toronto Raptors
82	41	41	.500	48.3	112.9	41.9	91.3	45.9	10.7	32.0	33.5	18.4	23.4	78.4	12.7	30.3	43.0	23.9	11.7	9.4	5.2	4.6	20.0	19.6	1.5
19	
Chicago Bulls Logo
Chicago Bulls
82	40	42	.488	48.5	113.1	42.5	86.8	49.0	10.4	28.9	36.1	17.6	21.8	80.9	8.5	33.9	42.4	24.5	13.4	7.9	4.5	4.7	18.9	18.7	1.3
19	
Oklahoma City Thunder Logo
Oklahoma City Thunder
82	40	42	.488	48.4	117.5	43.1	92.6	46.5	12.1	34.1	35.6	19.2	23.7	80.9	11.4	32.3	43.7	24.4	13.0	8.2	4.2	5.5	21.0	20.4	1.1
21	
Dallas Mavericks Logo
Dallas Mavericks
82	38	44	.463	48.6	114.2	40.0	84.3	47.5	15.2	41.0	37.1	19.0	25.1	75.5	7.6	31.2	38.8	22.9	12.2	6.3	3.7	3.8	20.7	21.8	0.1
22	
Utah Jazz Logo
Utah Jazz
82	37	45	.451	48.3	117.1	42.5	89.8	47.3	13.3	37.8	35.3	18.7	23.8	78.6	11.8	34.1	45.9	26.0	15.4	6.1	5.2	4.9	20.5	20.5	-0.9
23	
Indiana Pacers Logo
Indiana Pacers
82	35	47	.427	48.2	116.3	42.0	89.6	46.9	13.6	37.0	36.7	18.7	23.7	79.0	10.1	31.4	41.5	27.0	14.9	7.7	5.8	5.3	21.2	20.2	-3.2
23	
Washington Wizards Logo
Washington Wizards
82	35	47	.427	48.2	113.2	42.1	86.9	48.5	11.3	31.7	35.6	17.6	22.4	78.5	9.4	34.2	43.6	25.4	14.1	6.8	5.2	5.0	18.8	19.4	-1.2
25	
Orlando Magic Logo
Orlando Magic
82	34	48	.415	48.2	111.4	40.5	86.3	47.0	10.8	31.1	34.6	19.6	25.0	78.4	10.2	33.1	43.2	23.2	15.1	7.4	4.7	5.1	20.1	20.5	-2.6
26	
Portland Trail Blazers Logo
Portland Trail Blazers
82	33	49	.402	48.1	113.4	40.5	85.4	47.4	12.9	35.3	36.5	19.6	24.6	79.6	9.4	31.1	40.5	24.2	14.5	6.7	4.6	4.3	20.0	20.5	-4.0
27	
Charlotte Hornets Logo
Charlotte Hornets
82	27	55	.329	48.4	111.0	41.3	90.4	45.7	10.7	32.5	33.0	17.6	23.6	74.9	11.0	33.5	44.5	25.1	14.2	7.7	5.2	5.7	20.3	20.3	-6.2
28	
Houston Rockets Logo
Houston Rockets
82	22	60	.268	48.2	110.7	40.6	88.9	45.7	10.4	31.9	32.7	19.1	25.3	75.4	13.4	32.9	46.3	22.4	16.2	7.3	4.6	6.2	20.5	20.6	-7.9
28	
San Antonio Spurs Logo
San Antonio Spurs
82	22	60	.268	48.4	113.0	43.1	92.6	46.5	11.1	32.2	34.5	15.8	21.2	74.3	11.8	31.9	43.7	27.2	15.3	7.0	3.9	5.3	19.9	18.5	-10.0
30	
Detroit Pistons Logo
Detroit Pistons
